GEO_ID,NAME,P1_001N
1500000US421010078003,"Block Group 3, Census Tract 78, Philadelphia County, Pennsylvania",836
1500000US421010078004,"Block Group 4, Census Tract 78, Philadelphia County, Pennsylvania",969
1500000US421010078005,"Block Group 5, Census Tract 78, Philadelphia County, Pennsylvania",1117
1500000US421010079001,"Block Group 1, Census Tract 79, Philadelphia County, Pennsylvania",1078
1500000US421010079002,"Block Group 2, Census Tract 79, Philadelphia County, Pennsylvania",1457
1500000US421010079003,"Block Group 3, Census Tract 79, Philadelphia County, Pennsylvania",1073
1500000US421010079004,"Block Group 4, Census Tract 79, Philadelphia County, Pennsylvania",1114
1500000US421010080001,"Block Group 1, Census Tract 80, Philadelphia County, Pennsylvania",1068
1500000US421010080002,"Block Group 2, Census Tract 80, Philadelphia County, Pennsylvania",933
1500000US421010080003,"Block Group 3, Census Tract 80, Philadelphia County, Pennsylvania",746
1500000US421010080004,"Block Group 4, Census Tract 80, Philadelphia County, Pennsylvania",1195
1500000US421010081011,"Block Group 1, Census Tract 81.01, Philadelphia County, Pennsylvania",1051
1500000US421010081012,"Block Group 2, Census Tract 81.01, Philadelphia County, Pennsylvania",1664
1500000US421010081021,"Block Group 1, Census Tract 81.02, Philadelphia County, Pennsylvania",858
1500000US421010081022,"Block Group 2, Census Tract 81.02, Philadelphia County, Pennsylvania",869
1500000US421010081023,"Block Group 3, Census Tract 81.02, Philadelphia County, Pennsylvania",1455
1500000US421010081024,"Block Group 4, Census Tract 81.02, Philadelphia County, Pennsylvania",1852
1500000US421010082001,"Block Group 1, Census Tract 82, Philadelphia County, Pennsylvania",1015
1500000US421010082002,"Block Group 2, Census Tract 82, Philadelphia County, Pennsylvania",1047
1500000US421010082003,"Block Group 3, Census Tract 82, Philadelphia County, Pennsylvania",1104
1500000US421010082004,"Block Group 4, Census Tract 82, Philadelphia County, Pennsylvania",787
1500000US421010082005,"Block Group 5, Census Tract 82, Philadelphia County, Pennsylvania",729
1500000US421010082006,"Block Group 6, Census Tract 82, Philadelphia County, Pennsylvania",1370
1500000US421010082007,"Block Group 7, Census Tract 82, Philadelphia County, Pennsylvania",883
1500000US421010083011,"Block Group 1, Census Tract 83.01, Philadelphia County, Pennsylvania",1276
1500000US421010083012,"Block Group 2, Census Tract 83.01, Philadelphia County, Pennsylvania",1797
1500000US421010083013,"Block Group 3, Census Tract 83.01, Philadelphia County, Pennsylvania",1237
1500000US421010083021,"Block Group 1, Census Tract 83.02, Philadelphia County, Pennsylvania",983
1500000US421010083022,"Block Group 2, Census Tract 83.02, Philadelphia County, Pennsylvania",1982
1500000US421010083023,"Block Group 3, Census Tract 83.02, Philadelphia County, Pennsylvania",990
1500000US421010083024,"Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",1043
1500000US421010084001,"Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",1107
1500000US421010084002,"Block Group 2, Census Tract 84, Philadelphia County, Pennsylvania",809
1500000US421010084003,"Block Group 3, Census Tract 84, Philadelphia County, Pennsylvania",640
1500000US421010084004,"Block Group 4, Census Tract 84, Philadelphia County, Pennsylvania",762
1500000US421010084005,"Block Group 5, Census Tract 84, Philadelphia County, Pennsylvania",723
1500000US421010084006,"Block Group 6, Census Tract 84, Philadelphia County, Pennsylvania",570
1500000US421010085001,"Block Group 1, Census Tract 85, Philadelphia County, Pennsylvania",660
1500000US421010085002,"Block Group 2, Census Tract 85, Philadelphia County, Pennsylvania",891
1500000US421010085003,"Block Group 3, Census Tract 85, Philadelphia County, Pennsylvania",887
1500000US421010085004,"Block Group 4, Census Tract 85, Philadelphia County, Pennsylvania",782
1500000US421010085005,"Block Group 5, Census Tract 85, Philadelphia County, Pennsylvania",1239
1500000US421010085006,"Block Group 6, Census Tract 85, Philadelphia County, Pennsylvania",1009
1500000US421010085007,"Block Group 7, Census Tract 85, Philadelphia County, Pennsylvania",1305
